nome_pais,countryname
AFEGANISTÃO,Afghanistan
ACROTÍRI E DECELIA,Akrotiri E Dekélia
ÁFRICA DO SUL,South Africa
ALBÂNIA,Albania
ALEMANHA,Germany
AMERICAN SAMOA,American Samoa
ANDORRA,Andorra
ANGOLA,Angola
ANGUILLA,Anguilla
ANTÍGUA E BARBUDA,Antigua And Barbuda
ANTILHAS NEERLANDESAS,Netherlands Antilles
ARÁBIA SAUDITA,Saudi Arabia
ARGÉLIA,Algeria
ARGENTINA,Argentina
ARMÉNIA,Armenia
ARUBA,Aruba
AUSTRÁLIA,Australia
ÁUSTRIA,Austria
AZERBAIJÃO,Azerbaijan
BAHAMAS,Bahamas:The
BANGLADECHE,Bangladesh
BARBADOS,Barbados
BARÉM,Bahrain
BASSAS DA ÍNDIA,Bassas Da India
BÉLGICA,Belgium
BELIZE,Belize
BENIM,Benin
BERMUDAS,Bermuda
BIELORRÚSSIA,Belarus
BOLÍVIA,Bolivia
BÓSNIA E HERZEGOVINA,Bosnia And Herzegovina
BOTSUANA,Botswana
BRASIL,Brazil
BRUNEI DARUSSALAM,Brunei Darussalam
BULGÁRIA,Bulgaria
BURQUINA FASO,Burkina Faso
BURUNDI,Burundi
BUTÃO,Bhutan
CABO VERDE,Cape Verde
CAMARÕES,Cameroon
CAMBOJA,Cambodia
CANADÁ,Canada
CATAR,Qatar
CAZAQUISTÃO,Kazakhstan
CENTRO-AFRICANA REPÚBLICA,Central African Republic
CHADE,Chad
CHILE,Chile
CHINA,China
CHIPRE,Cyprus
COLÔMBIA,Colombia
COMORES,Comoros
CONGO,Congo
CONGO REPÚBLICA DEMOCRÁTICA,Congo Democratic Republic
COREIA DO NORTE,Korea North
COREIA DO SUL,Korea South
COSTA DO MARFIM,Ivory Coast
COSTA RICA,Costa Rica
CROÁCIA,Croatia
CUBA,Cuba
DINAMARCA,Denmark
DOMÍNICA,Dominica
EGIPTO,Egypt
EMIRADOS ÁRABES UNIDOS,United Arab Emirates
EQUADOR,Ecuador
ERITREIA,Eritrea
ESLOVÁQUIA,Slovakia
ESLOVÉNIA,Slovenia
ESPANHA,Spain
ESTADOS UNIDOS,United States
ESTÓNIA,Estonia
ETIÓPIA,Ethiopia
FAIXA DE GAZA,Gaza Strip
FIJI,Fiji
FILIPINAS,Philippines
FINLÂNDIA,Finland
FRANÇA,France
GABÃO,Gabon
GÂMBIA,Gambia
GANA,Ghana
GEÓRGIA,Georgia
GIBRALTAR,Gibraltar
GRANADA,Grenada
GRÉCIA,Greece
GRONELÂNDIA,Greenland
GUADALUPE,Guadeloupe
GUAM,Guam
GUATEMALA,Guatemala
GUERNSEY,Guernsey
GUIANA,Guyana
GUIANA FRANCESA,French Guiana
GUINÉ,Guinea
GUINÉ EQUATORIAL,Equatorial Guinea
GUINÉ-BISSAU,Guinea-Bissau
HAITI,Haiti
HONDURAS,Honduras
HONG KONG,Hong Kong
HUNGRIA,Hungary
IÉMEN,Yemen
ILHA BOUVET,Bouvet Island
ILHA CHRISTMAS,Christmas Island
ILHA DE CLIPPERTON,Clipperton Island
ILHA DE JOÃO DA NOVA,Juan De Nova Island
ILHA DE MAN,Isle Of Man
ILHA DE NAVASSA,Navassa Island
ILHA EUROPA,Europa Island
ILHA NORFOLK,Norfolk Island
ILHA TROMELIN,Tromelin Island
ILHAS ASHMORE E CARTIER,Ashmore And Cartier Islands
ILHAS CAIMAN,Cayman Islands
ILHAS COCOS (KEELING,Cocos (Keeling Islands
ILHAS COOK,Cook Islands
ILHAS DO MAR DE CORAL,Coral Sea Islands
ILHAS FALKLANDS (ILHAS MALVINAS,Falkland Islands (Islas Malvinas
ILHAS FEROE,Faroe Islands
ILHAS GEÓRGIA DO SUL E SANDWICH DO SUL,South Georgia And The South Sandwich Islands
ILHAS MARIANAS DO NORTE,Northern Mariana Islands
ILHAS MARSHALL,Marshall Islands
ILHAS PARACEL,Paracel Islands
ILHAS PITCAIRN,Pitcairn Islands
ILHAS SALOMÃO,Solomon Islands
ILHAS SPRATLY,Spratly Islands
ILHAS VIRGENS AMERICANAS,United States Virgin Islands
ILHAS VIRGENS BRITÂNICAS,British Virgin Islands
ÍNDIA,India
INDONÉSIA,Indonesia
IRÃO,Iran
IRAQUE,Iraq
IRLANDA,Ireland
ISLÂNDIA,Iceland
ISRAEL,Israel
ITÁLIA,Italy
JAMAICA,Jamaica
JAN MAYEN,Jan Mayen
JAPÃO,Japan
JERSEY,Jersey
JIBUTI,Djibouti
JORDÂNIA,Jordan
KIRIBATI,Kiribati
KOWEIT,Kuwait
LAOS,Laos
LESOTO,Lesotho
LETÓNIA,Latvia
LÍBANO,Lebanon
LIBÉRIA,Liberia
LÍBIA,Libyan Arab Jamahiriya
LISTENSTAINE,Liechtenstein
LITUÂNIA,Lithuania
LUXEMBURGO,Luxembourg
MACAU,Macao
MACEDÓNIA,Macedonia
MADAGÁSCAR,Madagascar
MALÁSIA,Malaysia
MALAVI,Malawi
MALDIVAS,Maldives
MALI,Mali
MALTA,Malta
MARROCOS,Morocco
MARTINICA,Martinique
MAURÍCIA,Mauritius
MAURITÂNIA,Mauritania
MAYOTTE,Mayotte
MÉXICO,Mexico
MIANMAR,Myanmar Burma
MICRONÉSIA,Micronesia
MOÇAMBIQUE,Mozambique
MOLDÁVIA,Moldova
MÓNACO,Monaco
MONGÓLIA,Mongolia
MONTENEGRO,Montenegro
MONTSERRAT,Montserrat
NAMÍBIA,Namibia
NAURU,Nauru
NEPAL,Nepal
NICARÁGUA,Nicaragua
NÍGER,Niger
NIGÉRIA,Nigeria
NIUE,Niue
NORUEGA,Norway
NOVA CALEDÓNIA,New Caledonia
NOVA ZELÂNDIA,New Zealand
OMÃ,Oman
PAÍSES BAIXOS,Netherlands
PALAU,Palau
PALESTINA,Palestine
PANAMÁ,Panama
PAPUÁSIA-NOVA GUINÉ,Papua New Guinea
PAQUISTÃO,Pakistan
PARAGUAI,Paraguay
PERU,Peru
POLINÉSIA FRANCESA,French Polynesia
POLÓNIA,Poland
PORTO RICO,Puerto Rico
PORTUGAL,Portugal
QUÉNIA,Kenya
QUIRGUIZISTÃO,Kyrgyzstan
REINO UNIDO,United Kingdom
REPÚBLICA CHECA,Czech Republic
REPÚBLICA DOMINICANA,Dominican Republic
ROMÉNIA,Romania
RUANDA,Rwanda
RÚSSIA,Russian Federation
SAHARA OCCIDENTAL,Western Sahara
SALVADOR,El Salvador
SAMOA,Samoa
SANTA HELENA,Saint Helena
SANTA LÚCIA,Saint Lucia
SANTA SÉ,Holy See
SÃO CRISTÓVÃO E NEVES,Saint Kitts And Nevis
SÃO MARINO,San Marino
SÃO PEDRO E MIQUELÃO,Saint Pierre And Miquelon
SÃO TOMÉ E PRÍNCIPE,Sao Tome And Principe
SÃO VICENTE E GRANADINAS,Saint Vincent And The Grenadines
SEICHELES,Seychelles
SENEGAL,Senegal
SERRA LEOA,Sierra Leone
SÉRVIA,Serbia
SINGAPURA,Singapore
SÍRIA,Syria
SOMÁLIA,Somalia
SRI LANCA,Sri Lanka
SUAZILÂNDIA,Swaziland
SUDÃO,Sudan
SUÉCIA,Sweden
SUÍÇA,Switzerland
SURINAME,Suriname
SVALBARD,Svalbard
TAILÂNDIA,Thailand
TAIWAN,Taiwan
TAJIQUISTÃO,Tajikistan
TANZÂNIA,Tanzania
TERRITÓRIO BRITÂNICO DO OCEANO ÍNDICO,British Indian Ocean Territory
TERRITÓRIO DAS ILHAS HEARD E MCDONALD,Heard Island And Mcdonald Islands
TIMOR-LESTE,Timor-Leste
TOGO,Togo
TOKELAU,Tokelau
TONGA,Tonga
TRINDADE E TOBAGO,Trinidad And Tobago
TUNÍSIA,Tunisia
TURKS E CAICOS,Turks And Caicos Islands
TURQUEMENISTÃO,Turkmenistan
TURQUIA,Turkey
TUVALU,Tuvalu
UCRÂNIA,Ukraine
UGANDA,Uganda
URUGUAI,Uruguay
USBEQUISTÃO,Uzbekistan
VANUATU,Vanuatu
VENEZUELA,Venezuela
VIETNAME,Vietnam
WALLIS E FUTUNA,Wallis And Futuna
ZÂMBIA,Zambia
ZIMBABUÉ,Zimbabwe
